Dataset,Model1,Model2,Period,Topn,Overlap
Google,LDA,NN,8,5,1
Google,LDA,NN,9,1,1
Google,LDA,NN,9,3,0.5
Google,LDA,NN,9,5,1
Google,LDA,NN,10,1,0
Google,LDA,NN,10,3,0.6
Google,LDA,NN,10,5,0.5
Google,LDA,NN,11,1,0
Google,LDA,NN,11,3,0.5
Google,LDA,NN,11,5,1
Google,LDA,NN,12,1,1
Google,LDA,NN,12,3,0.4
Google,LDA,NN,12,5,0.666666666666667
Google,LDA,NN,13,1,0
Google,LDA,NN,13,3,1
Google,LDA,NN,13,5,0.555555555555556
Google,LDA,NN,14,1,0.4
Google,LDA,NN,14,3,0.75
Google,LDA,NN,14,5,1
Google,LDA,NN,15,1,0
Google,LDA,NN,15,3,0.375
Google,LDA,NN,15,5,0.916666666666667
Google,LDA,NN,16,1,0
Google,LDA,NN,16,3,0.416666666666667
Google,LDA,NN,16,5,0.833333333333333
Google,LDA,NN,17,1,0.25
Google,LDA,NN,17,3,0.4
Google,LDA,NN,17,5,0.583333333333333
Google,LDA,NN,18,1,0.5
Google,LDA,NN,18,3,0.6
Google,LDA,NN,18,5,0.75
Google,LDA,NN,19,1,1
Google,LDA,NN,19,3,0.5
Google,LDA,NN,19,5,0.666666666666667
Google,LDA,NN,20,1,0.333333333333333
Google,LDA,NN,20,3,0.25
Google,LDA,NN,20,5,0.75
Google,LDA,NN,21,1,0
Google,LDA,NN,21,3,0.545454545454545
Google,LDA,NN,21,5,1
Google,LDA,NN,22,1,0
Google,LDA,NN,22,3,0.3
Google,LDA,NN,22,5,1
Google,LDA,NN,23,1,0
Google,LDA,NN,23,3,0.444444444444444
Google,LDA,NN,23,5,1
Google,LDA,NN,24,1,0
Google,LDA,NN,24,3,0.375
Google,LDA,NN,24,5,1
Google,LDA,NN,25,1,0
Google,LDA,NN,25,3,0.5
Google,LDA,NN,25,5,0.666666666666667
Google,LDA,NN,26,1,0.25
Google,LDA,NN,26,3,0.5
Google,LDA,NN,26,5,1
Google,LDA,NN,27,1,1
Google,LDA,NN,27,3,0.285714285714286
Google,LDA,NN,27,5,1
Google,LDA,NN,28,1,0.25
Google,LDA,NN,28,3,0.5
Google,LDA,NN,28,5,1
Google,LDA,RF,1,1,1
Google,LDA,RF,1,3,0.444444444444444
Google,LDA,RF,1,5,1
Google,LDA,RF,2,1,0
Google,LDA,RF,2,3,0.285714285714286
Google,LDA,RF,2,5,1
Google,LDA,RF,3,1,1
Google,LDA,RF,3,3,0.166666666666667
Google,LDA,RF,3,5,1
Google,LDA,RF,4,1,1
Google,LDA,RF,4,3,0.6
Google,LDA,RF,4,5,1
Google,LDA,RF,5,1,0
Google,LDA,RF,5,3,0.5
Google,LDA,RF,5,5,1
Google,LDA,RF,6,1,0
Google,LDA,RF,6,3,0.416666666666667
Google,LDA,RF,6,5,1
Google,LDA,RF,7,1,0
Google,LDA,RF,7,3,1
Google,LDA,RF,7,5,1
Google,LDA,RF,8,1,0
Google,LDA,RF,8,3,0.333333333333333
Google,LDA,RF,8,5,1
Google,LDA,RF,9,1,1
Google,LDA,RF,9,3,0.25
Google,LDA,RF,9,5,1
Google,LDA,RF,10,1,0
Google,LDA,RF,10,3,0
Google,LDA,RF,10,5,0.5
Google,LDA,RF,11,1,0
Google,LDA,RF,11,3,0.416666666666667
Google,LDA,RF,11,5,1
Google,LDA,RF,12,1,1
Google,LDA,RF,12,3,0.166666666666667
Google,LDA,RF,12,5,1
Google,LDA,RF,13,1,1
Google,LDA,RF,13,3,0.25
Google,LDA,RF,13,5,0.416666666666667
Google,LDA,RF,14,1,0.2
Google,LDA,RF,14,3,1
Google,LDA,RF,14,5,1
Google,LDA,RF,15,1,0
Google,LDA,RF,15,3,0.25
Google,LDA,RF,15,5,0.916666666666667
Google,LDA,RF,16,1,0
Google,LDA,RF,16,3,1
Google,LDA,RF,16,5,1
Google,LDA,RF,17,1,0
Google,LDA,RF,17,3,0.333333333333333
Google,LDA,RF,17,5,0.583333333333333
Google,LDA,RF,18,1,1
Google,LDA,RF,18,3,0.25
Google,LDA,RF,18,5,1
Google,LDA,RF,19,1,0
Google,LDA,RF,19,3,0.333333333333333
Google,LDA,RF,19,5,0.666666666666667
Google,LDA,RF,20,1,0
Google,LDA,RF,20,3,0.25
Google,LDA,RF,20,5,0.75
Google,LDA,RF,21,1,1
Google,LDA,RF,21,3,0.666666666666667
Google,LDA,RF,21,5,1
Google,LDA,RF,22,1,0
Google,LDA,RF,22,3,0.333333333333333
Google,LDA,RF,22,5,1
Google,LDA,RF,23,1,0
Google,LDA,RF,23,3,0.416666666666667
Google,LDA,RF,23,5,1
Google,LDA,RF,24,1,0
Google,LDA,RF,24,3,0.25
Google,LDA,RF,24,5,1
Google,LDA,RF,25,1,1
Google,LDA,RF,25,3,0.375
Google,LDA,RF,25,5,0.666666666666667
Google,LDA,RF,26,1,0.5
Google,LDA,RF,26,3,0.5
Google,LDA,RF,26,5,1
Google,LDA,RF,27,1,0
Google,LDA,RF,27,3,0.142857142857143
Google,LDA,RF,27,5,1
Google,LDA,RF,28,1,0
Google,LDA,RF,28,3,0.416666666666667
Google,LDA,RF,28,5,1
Google,LDA,RGF,1,1,0
Google,LDA,RGF,1,3,0.272727272727273
Google,LDA,RGF,1,5,1
Google,LDA,RGF,2,1,0
Google,LDA,RGF,2,3,0.142857142857143
Google,LDA,RGF,2,5,0.5
Google,LDA,RGF,3,1,0
Google,LDA,RGF,3,3,0.25
Google,LDA,RGF,3,5,1
Google,LDA,RGF,4,1,0
Google,LDA,RGF,4,3,0.25
Google,LDA,RGF,4,5,1
Google,LDA,RGF,5,1,0
Google,LDA,RGF,5,3,0.416666666666667
Google,LDA,RGF,5,5,1
Google,LDA,RGF,6,1,0
Google,LDA,RGF,6,3,0.416666666666667
Google,LDA,RGF,6,5,1
Google,LDA,RGF,7,1,0
Google,LDA,RGF,7,3,1
Google,LDA,RGF,7,5,1
Google,LDA,RGF,8,1,1
Google,LDA,RGF,8,3,1
Google,LDA,RGF,8,5,1
Google,LDA,RGF,9,1,1
Google,LDA,RGF,9,3,0.285714285714286
Google,LDA,RGF,9,5,1
Google,LDA,RGF,10,1,0
Google,LDA,RGF,10,3,0.333333333333333
Google,LDA,RGF,10,5,0.5
Google,LDA,RGF,11,1,0
Google,LDA,RGF,11,3,0.416666666666667
Google,LDA,RGF,11,5,1
Google,LDA,RGF,12,1,0.5
Google,LDA,RGF,12,3,0.25
Google,LDA,RGF,12,5,1
Google,LDA,RGF,13,1,0
Google,LDA,RGF,13,3,0.25
Google,LDA,RGF,13,5,0.416666666666667
Google,LDA,RGF,14,1,0.4
Google,LDA,RGF,14,3,1
Google,LDA,RGF,14,5,1
Google,LDA,RGF,15,1,0
Google,LDA,RGF,15,3,0.25
Google,LDA,RGF,15,5,0.916666666666667
Google,LDA,RGF,16,1,0
Google,LDA,RGF,16,3,0.333333333333333
Google,LDA,RGF,16,5,1
Google,LDA,RGF,17,1,0
Google,LDA,RGF,17,3,0.333333333333333
Google,LDA,RGF,17,5,0.583333333333333
Google,LDA,RGF,18,1,1
Google,LDA,RGF,18,3,0.333333333333333
Google,LDA,RGF,18,5,1
Google,LDA,RGF,19,1,0
Google,LDA,RGF,19,3,0.333333333333333
Google,LDA,RGF,19,5,0.666666666666667
Google,LDA,RGF,20,1,0
Google,LDA,RGF,20,3,0.25
Google,LDA,RGF,20,5,0.75
Google,LDA,RGF,21,1,1
Google,LDA,RGF,21,3,0.333333333333333
Google,LDA,RGF,21,5,1
Google,LDA,RGF,22,1,0
Google,LDA,RGF,22,3,0.333333333333333
Google,LDA,RGF,22,5,1
Google,LDA,RGF,23,1,0
Google,LDA,RGF,23,3,0.444444444444444
Google,LDA,RGF,23,5,1
Google,LDA,RGF,24,1,0
Google,LDA,RGF,24,3,0.4
Google,LDA,RGF,24,5,1
Google,LDA,RGF,25,1,0
Google,LDA,RGF,25,3,0.3
Google,LDA,RGF,25,5,0.666666666666667
Google,LDA,RGF,26,1,0
Google,LDA,RGF,26,3,0.4
Google,LDA,RGF,26,5,1
Google,LDA,RGF,27,1,0
Google,LDA,RGF,27,3,0.416666666666667
Google,LDA,RGF,27,5,1
Google,LDA,RGF,28,1,0
Google,LDA,RGF,28,3,0.416666666666667
Google,LDA,RGF,28,5,1
Google,QDA,LR,1,1,1
Google,QDA,LR,1,3,0.5
Google,QDA,LR,1,5,1
Google,QDA,LR,2,1,0
Google,QDA,LR,2,3,0.25
Google,QDA,LR,2,5,0.416666666666667
Google,QDA,LR,3,1,1
Google,QDA,LR,3,3,0.583333333333333
Google,QDA,LR,3,5,1
Google,QDA,LR,4,1,0.5
Google,QDA,LR,4,3,0.5
Google,QDA,LR,4,5,1
Google,QDA,LR,5,1,1
Google,QDA,LR,5,3,0.333333333333333
Google,QDA,LR,5,5,0.5
Google,QDA,LR,6,1,0.5
Google,QDA,LR,6,3,0.416666666666667
Google,QDA,LR,6,5,1
Google,QDA,LR,7,1,0
Google,QDA,LR,7,3,0.75
Google,QDA,LR,7,5,1
Google,QDA,LR,8,1,1
Google,QDA,LR,8,3,0.5
Google,QDA,LR,8,5,1
Google,QDA,LR,9,1,0
Google,QDA,LR,9,3,0.285714285714286
Google,QDA,LR,9,5,0.5
Google,QDA,LR,10,1,1
Google,QDA,LR,10,3,0.6
Google,QDA,LR,10,5,0.75
Google,QDA,LR,11,1,0
Google,QDA,LR,11,3,0.333333333333333
Google,QDA,LR,11,5,0.5
Google,QDA,LR,12,1,1
Google,QDA,LR,12,3,0.666666666666667
Google,QDA,LR,12,5,1
Google,QDA,LR,13,1,0
Google,QDA,LR,13,3,0.5
Google,QDA,LR,13,5,1
Google,QDA,LR,14,1,0.333333333333333
Google,QDA,LR,14,3,0.666666666666667
Google,QDA,LR,14,5,1
Google,QDA,LR,15,1,1
Google,QDA,LR,15,3,0.6
Google,QDA,LR,15,5,0.916666666666667
Google,QDA,LR,16,1,1
Google,QDA,LR,16,3,0.2
Google,QDA,LR,16,5,0.5
Google,QDA,LR,17,1,0
Google,QDA,LR,17,3,0.3
Google,QDA,LR,17,5,0.5
Google,QDA,LR,18,1,1
Google,QDA,LR,18,3,0.6
Google,QDA,LR,18,5,1
Google,QDA,LR,19,1,0
Google,QDA,LR,19,3,0.333333333333333
Google,QDA,LR,19,5,0.583333333333333
Google,QDA,LR,20,1,1
Google,QDA,LR,20,3,0.25
Google,QDA,LR,20,5,0.583333333333333
Google,QDA,LR,21,1,0
Google,QDA,LR,21,3,0.416666666666667
Google,QDA,LR,21,5,0.833333333333333
Google,QDA,LR,22,1,0
Google,QDA,LR,22,3,0.333333333333333
Google,QDA,LR,22,5,1
Google,QDA,LR,23,1,0.333333333333333
Google,QDA,LR,23,3,0.583333333333333
Google,QDA,LR,23,5,0.75
Google,QDA,LR,24,1,1
Google,QDA,LR,24,3,0.571428571428571
Google,QDA,LR,24,5,0.833333333333333
Google,QDA,LR,25,1,1
Google,QDA,LR,25,3,0.333333333333333
Google,QDA,LR,25,5,0.5
Google,QDA,LR,26,1,1
Google,QDA,LR,26,3,0.25
Google,QDA,LR,26,5,0.5
Google,QDA,LR,27,1,1
Google,QDA,LR,27,3,0.222222222222222
Google,QDA,LR,27,5,0.833333333333333
Google,QDA,LR,28,1,0.2
Google,QDA,LR,28,3,0.583333333333333
Google,QDA,LR,28,5,1
Google,QDA,CART,1,1,0
Google,QDA,CART,1,3,0.416666666666667
Google,QDA,CART,1,5,1
Google,QDA,CART,2,1,0.166666666666667
Google,QDA,CART,2,3,0.25
Google,QDA,CART,2,5,0.416666666666667
Google,QDA,CART,3,1,0.166666666666667
Google,QDA,CART,3,3,0.583333333333333
Google,QDA,CART,3,5,1
Google,QDA,CART,4,1,1
Google,QDA,CART,4,3,0.454545454545455
Google,QDA,CART,4,5,1
Google,QDA,CART,5,1,0.166666666666667
Google,QDA,CART,5,3,0.333333333333333
Google,QDA,CART,5,5,0.5
Google,QDA,CART,6,1,0.166666666666667
Google,QDA,CART,6,3,0.416666666666667
Google,QDA,CART,6,5,1
Google,QDA,CART,7,1,0.3
Google,QDA,CART,7,3,0.75
Google,QDA,CART,7,5,1
Google,QDA,CART,8,1,1
Google,QDA,CART,8,3,0.454545454545455
Google,QDA,CART,8,5,1
Google,QDA,CART,9,1,0
Google,QDA,CART,9,3,0.3
Google,QDA,CART,9,5,0.5
Google,QDA,CART,10,1,1
Google,QDA,CART,10,3,0.333333333333333
Google,QDA,CART,10,5,0.75
Google,QDA,CART,11,1,0
Google,QDA,CART,11,3,0.363636363636364
Google,QDA,CART,11,5,0.5
Google,QDA,CART,12,1,0.25
Google,QDA,CART,12,3,0.666666666666667
Google,QDA,CART,12,5,1
Google,QDA,CART,13,1,0
Google,QDA,CART,13,3,0.6
Google,QDA,CART,13,5,1
Google,QDA,CART,14,1,0.5
Google,QDA,CART,14,3,0.75
Google,QDA,CART,14,5,1
Google,QDA,CART,15,1,0.25
Google,QDA,CART,15,3,0.416666666666667
Google,QDA,CART,15,5,0.916666666666667
Google,QDA,CART,16,1,0.2
Google,QDA,CART,16,3,0.25
Google,QDA,CART,16,5,0.416666666666667
Google,QDA,CART,17,1,0
Google,QDA,CART,17,3,0.25
Google,QDA,CART,17,5,0.5
Google,QDA,CART,18,1,0.5
Google,QDA,CART,18,3,0.454545454545455
Google,QDA,CART,18,5,1
